ticker,aum_usd,updated_date
SPY,783065831323.2422,2026-09-18
VOO,1072093007812.5381,2026-09-18
IVV,827377073846.4355,2026-09-18
QQQ,475298384240.72266,2026-09-18
QQQM,103383754638.9549,2026-09-18
DIA,44818985251.46484,2026-09-18
IWM,77836671681.21338,2026-09-18
IWB,48339499282.836914,2026-09-18
VTI,682583128975.2498,2026-09-18
ITOT,94781510815.42969,2026-09-18
XLK,119363208046.875,2026-09-18
XLF,54296844296.26465,2026-09-18
XLV,43430621006.01196,2026-09-18
XLE,41830798202.51465,2026-09-18
XLI,30474088512.72583,2026-09-18
XLY,21486201859.51233,2026-09-18
XLP,14146934410.858154,2026-09-18
XLC,22662150000.0,2026-09-18
XLU,21521521841.049194,2026-09-18
XLRE,7872759252.548218,2026-09-18
XLB,8231342099.761963,2026-09-18
VUG,228308273092.33636,2026-09-18
VTV,191687909252.61798,2026-09-18
IVW,75591933984.375,2026-09-18
IVE,49103815166.47339,2026-09-18
IWF,122908611933.51746,2026-09-18
IWD,81890719194.03076,2026-09-18
IWO,14119400427.246094,2026-09-18
IWN,14084865039.82544,2026-09-18
IJH,120928085069.2749,2026-09-18
SMH,66581164481.486206,2026-09-18
SOXX,43051644790.649414,2026-09-18
XSD,2758849929.8095703,2026-09-18
AIQ,9974760545.381306,2026-09-18
BOTZ,3292799258.969879,2026-09-18
ROBO,1977736581.7055054,2026-09-18
SKYY,3326839811.237274,2026-09-18
CIBR,16253615695.13736,2026-09-18
HACK,3082067976.3793945,2026-09-18
ITA,12604058750.152588,2026-09-18
XAR,5761656040.344238,2026-09-18
PPA,7638507212.677002,2026-09-18
PAVE,13349395974.5,2026-09-18
URA,5836105174.929966,2026-09-18
URNM,1905597946.31958,2026-09-18
VT,80580375327.49484,2026-09-18
ACWI,32593748126.220703,2026-09-18
URTH,8126987266.540527,2026-09-18
VEU,68520409785.0,2026-09-18
VXUS,162947495597.46048,2026-09-18
IXUS,59082667486.572266,2026-09-18
VGK,30135970159.397224,2026-09-18
EZU,9569664514.160156,2026-09-18
FEZ,4322189949.488312,2026-09-18
EWU,3682895928.955078,2026-09-18
EWG,1591125011.4440918,2026-09-18
EWQ,344370011.90185547,2026-09-18
EWL,2334443720.3407288,2026-09-18
EWI,1099708502.7694702,2026-09-18
EWP,2212691316.6046143,2026-09-18
EWJ,23238746011.73401,2026-09-18
DXJ,7015711235.809326,2026-09-18
HEWJ,646215030.670166,2026-09-18
MCHI,6026112158.203125,2026-09-18
KWEB,4627057180.069845,2026-09-18
FXI,4044959781.6467285,2026-09-18
ASHR,1474303979.2028503,2026-09-18
KBA,138989692.06895828,2026-09-18
EWH,1132938034.915924,2026-09-18
EWT,11783080165.863037,2026-09-18
EWY,26102797001.64795,2026-09-18
INDA,579011988.8305664,2026-09-18
INDY,513647979.3548584,2026-09-18
EPI,1918176007.0800781,2026-09-18
VNM,501993024.2538452,2026-09-18
EIDO,474766487.0738983,2026-09-18
THD,373170009.6130371,2026-09-18
EWS,1330068049.621582,2026-09-18
EWM,308924989.7003174,2026-09-18
EWZ,8594163895.03479,2026-09-18
EWW,1647313986.2060547,2026-09-18
ECH,971802519.0353394,2026-09-18
ILF,3888329864.501953,2026-09-18
EEM,30549942567.443848,2026-09-18
VWO,124648779025.48114,2026-09-18
IEMG,157095711196.8994,2026-09-18
EMXC,24877553843.688965,2026-09-18
KSA,614294992.4468994,2026-09-18
UAE,295028995.513916,2026-09-18
GLD,144473708398.4375,2026-09-18
IAU,63762031757.736206,2026-09-18
GLDM,31432480046.081543,2026-09-18
SLV,30912542086.601257,2026-09-18
SIVR,4419736376.38092,2026-09-18
USO,2002662057.0292816,2026-09-18
BNO,740519989.0136719,2026-09-18
XOP,4267550067.9016113,2026-09-18
OIH,1979474648.7657166,2026-09-18
UNG,600321607.1857843,2026-09-18
GSG,1083951968.383789,2026-09-18
SHY,25988675316.619873,2026-09-18
IEF,41853750548.55347,2026-09-18
TLT,47225830396.27075,2026-09-18
LQD,27992599182.128906,2026-09-18
HYG,14531225660.705566,2026-09-18
TIP,14585975915.527344,2026-09-18
EMB,14005529632.56836,2026-09-18
IBIT,59636225268.55469,2026-09-18
